,owner_name,follower,following,post_number
0,Muhammad Schaefer,108751787,45,61
1,Ezra Kemp,172731383,71,43
2,Eli Good,105194939,20,44
3,Lillianna Pruitt,14807976,11,88
4,Carlie Woodward,228517005,68,52
5,Brayan Goodwin,51390541,98,23
6,Abbey Patterson,117816608,65,98
7,Nathanial Carey,132705595,84,32
8,Teagan Newman,145440825,39,85
9,Bianca Velazquez,184433225,72,91
10,Emely Olsen,197123487,43,58
11,Jabari Hess,230991894,87,16
12,Ivan Randolph,233996265,31,45
13,Priscilla Shea,23888252,69,72
14,Ryan Berger,107802883,85,91
15,Hayden Roy,248522613,79,11
16,Kira Castaneda,246047852,12,63
17,Kadence Henderson,77927317,53,57
18,Timothy Fowler,224887843,50,73
19,Precious Ramos,48236154,34,76
20,Justus Burke,290785867,94,87
21,Cadence Lang,27171677,88,62
22,Bradyn House,149464667,94,39
23,Alexandria Andersen,263235277,83,33
24,Charles Morales,222955873,12,38
25,Valentina Avery,126578351,81,71
26,Tori Wilson,130763762,71,57
27,Hailee Armstrong,313687859,55,94
28,Pedro Clarke,312318665,60,13
29,Gabriel Calhoun,132769603,16,58
30,Kylan Cardenas,57319271,73,13
31,Ivy Fields,234324677,49,22
32,Jaime Stuart,71774373,48,44
33,Reid Mckinney,198335969,89,66
34,Greyson Oneal,62554665,51,26
35,Lorelei Briggs,178428525,77,68
36,Demarion Suarez,63641416,12,11
37,Collin Andersen,156369875,93,64
38,Brody Downs,9956374,33,19
39,Harper Hensley,224837846,57,59
40,Alexia Moss,314936599,17,48
41,Boston Stout,293331811,13,56
42,Chasity Cisneros,303490848,48,36
43,Khalil Bryan,279582669,48,84
44,Jakobe Schultz,136273816,34,82
45,Keely Campbell,131645846,92,91
46,Brogan Guerra,248663904,69,68
47,Zachery Keith,34037577,47,49
48,Alberto Sutton,76331944,74,63
49,Yasmine Hutchinson,181380421,13,98
50,Marlee Moyer,224912384,36,95
51,Violet Black,268780018,94,33
52,Mylie Prince,172675476,18,43
53,Raven Stone,82717282,48,16
54,Esmeralda Henson,240302137,65,96
55,Dexter Salazar,265575683,10,54
56,Jamie Oneal,252094671,12,41
57,Willow Blackwell,19365366,51,45
58,Brynn Newton,247373061,61,55
59,Corey Hansen,10389852,28,63
60,Audrina Nichols,319228713,41,15
61,Houston Robbins,276819363,93,64
62,Lilah Whitaker,95378667,31,49
63,Shamar Bates,81647002,88,43
64,Britney James,161446658,41,93
65,Alec Crosby,167511620,97,61
66,Kaitlynn Colon,39670893,76,57
67,Jaidyn Whitney,305627183,89,48
68,Patricia Levine,50961598,80,63
69,John Kent,263555812,94,70
70,Bennett Keith,133326390,74,37
71,Eden Walter,50414607,10,82
72,Averie Zamora,92876727,90,60
73,Bryson Gardner,4152984,51,25
74,Brittany Arroyo,169708854,92,26
75,Savion Walls,189607788,84,83
76,Maxim Maynard,263510967,64,15
77,Ronnie Pope,20821629,77,42
78,Kian Hanna,79265883,21,24
79,Claire Salinas,239596097,49,66
80,Grady Buck,15903557,81,30
81,Harper Day,151388804,34,59
82,Hope Becker,68662078,28,83
83,Cameron Murphy,281439342,22,17
84,Nick Compton,53708060,92,35
85,Zain Ortega,245855623,78,36
86,Nasir Mcgrath,107737269,12,99
87,Blaine Greene,17519059,83,88
88,Janet Knight,137375221,18,26
89,Lana Hensley,151213150,49,80
90,Destiney Orozco,250085334,61,72
91,Kelton Barnes,161837110,71,20
92,Leslie Salinas,276001851,65,89
93,Raquel Collier,197510666,77,38
94,Reyna Copeland,214443881,44,89
95,Alaina Cortez,206571647,83,82
96,Aiyana Orr,246069137,85,44
97,Damien Mack,175172516,84,58
98,Santino Shelton,103682240,86,71
99,Ezra Booth,296470673,49,89
