,owner_name,follower,following,post_number
3,Lillianna Pruitt,14807976,11,88
15,Hayden Roy,248522613,79,11
16,Kira Castaneda,246047852,12,63
24,Charles Morales,222955873,12,38
29,Gabriel Calhoun,132769603,16,58
36,Demarion Suarez,63641416,12,11
40,Alexia Moss,314936599,17,48
41,Boston Stout,293331811,13,56
49,Yasmine Hutchinson,181380421,13,98
52,Mylie Prince,172675476,18,43
55,Dexter Salazar,265575683,10,54
56,Jamie Oneal,252094671,12,41
71,Eden Walter,50414607,10,82
86,Nasir Mcgrath,107737269,12,99
88,Janet Knight,137375221,18,26
